programme,gender,world_region,cats_or_dogs,rock_paper_scissors_round_1,rock_paper_scissors_round_2,rock_paper_scissors_round_3,vacation_style,modelling_uncertainty_or_data,shares_apartment
Civil Engineering,Female,Europe,Both?,Paper,Rock,Scissors,Beach holiday,Data,I live alone
Environmental Engineering,Male,Asia,Both?,Paper,Paper,Paper,Road trip,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Nature park,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Neither! >:(,Rock,Paper,Rock,Beach holiday,Modelling,I live with others
Civil Engineering,Female,Americas,Dogs,Scissors,Rock,Paper,City trip,*Incoherent Screaming*,I live with others
Civil Engineering,Female,Europe,Neither! >:(,Rock,Rock,Paper,Sport holiday,Modelling,I live with others
Civil Engineering,Female,Europe,Cats,Scissors,Rock,Scissors,Mountain hike,*Incoherent Screaming*,I live alone
Civil Engineering,Male,Europe,Both?,Rock,Scissors,Scissors,Mountain hike,Modelling,I live alone
Civil Engineering,Male,Asia,Both?,Rock,Rock,Rock,Mountain hike,Modelling,I live with others
Civil Engineering,Male,Americas,Both?,Paper,Rock,Rock,Road trip,Modelling,I live alone
Civil Engineering,Male,Americas,Both?,Rock,Scissors,Rock,City trip,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Dogs,Paper,Paper,Paper,Beach holiday,*Incoherent Screaming*,I live with others
"Earth, Climate, and Technology",Male,Asia,Cats,Rock,Rock,Rock,Beach holiday,Modelling,I live with others
Civil Engineering,Male,Europe,Cats,Paper,Rock,Scissors,Beach holiday,Uncertainty,I live with others
Civil Engineering,Female,Europe,Neither! >:(,Scissors,Scissors,Scissors,Mountain hike,Data,I live with others
"Earth, Climate, and Technology",Female,Europe,Cats,Paper,Rock,Paper,City trip,Data,I live with others
Civil Engineering,Male,Americas,Dogs,Scissors,Scissors,Scissors,City trip,Data,I live alone
Civil Engineering,Female,Europe,Dogs,Rock,Rock,Paper,Antarctica cruise,Data,I live with others
Civil Engineering,Male,Europe,Dogs,Paper,Paper,Rock,Beach holiday,Modelling,I live alone
"Earth, Climate, and Technology",Male,Europe,Dogs,Scissors,Scissors,Scissors,Mountain hike,Modelling,I live with others
"Earth, Climate, and Technology",Female,Asia,Both?,Rock,Scissors,Rock,Beach holiday,Modelling,I live alone
Civil Engineering,Male,Europe,Both?,Scissors,Rock,Rock,Road trip,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Road trip,Modelling,I live with others
"Earth, Climate, and Technology",Male,Europe,Both?,Scissors,Paper,Scissors,Road trip,Data,I live alone
"Earth, Climate, and Technology",Male,Europe,Cats,Rock,Rock,Scissors,City trip,Data,I live with others
Civil Engineering,Female,Europe,Dogs,Paper,Scissors,Paper,Nature park,Modelling,I live alone
Environmental Engineering,Female,Americas,Cats,Rock,Paper,Scissors,Antarctica cruise,*Incoherent Screaming*,I live with others
"Earth, Climate, and Technology",Female,Europe,Cats,Scissors,Paper,Scissors,City trip,Uncertainty,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Beach holiday,Uncertainty,I live with others
Civil Engineering,Male,Europe,Cats,Rock,Rock,Rock,City trip,Uncertainty,I live with others
"Earth, Climate, and Technology",Male,Americas,Dogs,Rock,Rock,Paper,Nature park,Data,I live with others
"Earth, Climate, and Technology",Male,Europe,Cats,Paper,Paper,Paper,Road trip,*Incoherent Screaming*,I live alone
Civil Engineering,Male,Europe,Cats,Scissors,Rock,Paper,City trip,Uncertainty,I live alone
Environmental Engineering,Male,Americas,Both?,Scissors,Scissors,Scissors,Mountain hike,Uncertainty,I live with others
Civil Engineering,Male,Europe,Cats,Rock,Rock,Rock,Nature park,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Beach holiday,*Incoherent Screaming*,I live alone
Civil Engineering,Female,Europe,Both?,Paper,Paper,Rock,Road trip,Uncertainty,I live alone
Civil Engineering,Female,Europe,Dogs,Rock,Scissors,Scissors,Road trip,*Incoherent Screaming*,I live with others
Environmental Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Nature park,Uncertainty,I live with others
Civil Engineering,Male,Europe,Neither! >:(,Paper,Paper,Paper,Nature park,Modelling,I live with others
Civil Engineering,Male,Europe,Cats,Paper,Paper,Paper,Road trip,Data,I live alone
Civil Engineering,Female,Americas,Dogs,Rock,Paper,Paper,City trip,Data,I live alone
Civil Engineering,Male,Europe,Dogs,Scissors,Scissors,Paper,Nature park,*Incoherent Screaming*,I live with others
Environmental Engineering,Male,Americas,Dogs,Rock,Paper,Rock,Beach holiday,Modelling,I live with others
Environmental Engineering,Male,Europe,Both?,Paper,Paper,Paper,Road trip,*Incoherent Screaming*,I live with others
Environmental Engineering,Male,Europe,Both?,Paper,Rock,Scissors,Antarctica cruise,*Incoherent Screaming*,I live alone
"Earth, Climate, and Technology",Male,Americas,Dogs,Rock,Rock,Rock,Mountain hike,Data,I live alone
"Earth, Climate, and Technology",Female,Europe,Cats,Rock,Rock,Rock,City trip,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Dogs,Scissors,Scissors,Scissors,City trip,Modelling,I live alone
"Earth, Climate, and Technology",Male,Europe,Cats,Rock,Rock,Rock,Road trip,*Incoherent Screaming*,I live with others
Environmental Engineering,Male,Europe,Dogs,Rock,Rock,Paper,Mountain hike,Data,I live alone
Civil Engineering,Male,Asia,Both?,Rock,Paper,Scissors,Nature park,Modelling,I live with others
Environmental Engineering,Male,Asia,Both?,Paper,Scissors,Scissors,Nature park,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Both?,Rock,Rock,Rock,Sport holiday,Data,I live with others
"Earth, Climate, and Technology",Male,Americas,Dogs,Scissors,Scissors,Paper,Mountain hike,Modelling,I live with others
Environmental Engineering,Male,Europe,Neither! >:(,Rock,Rock,Rock,Nature park,Uncertainty,I live with others
Civil Engineering,Male,Europe,Dogs,Paper,Rock,Rock,Beach holiday,Modelling,I live with others
Environmental Engineering,Male,Europe,Both?,Rock,Scissors,Scissors,Nature park,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Cats,Rock,Rock,Rock,Sport holiday,Uncertainty,I live alone
Civil Engineering,Male,Europe,Cats,Paper,Scissors,Scissors,Road trip,Modelling,I live with others
Civil Engineering,Male,Europe,Dogs,Paper,Rock,Rock,Road trip,*Incoherent Screaming*,I live alone
"Earth, Climate, and Technology",Female,Europe,Dogs,Rock,Paper,Rock,Beach holiday,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Cats,Scissors,Scissors,Scissors,City trip,*Incoherent Screaming*,I live with others
